id,company_id,balance,total_purchased,total_used,seats,seats_used,free_conversations,plan_tier_id,current_period_start,current_period_end,last_reset_at,last_processed_at,version,free_tier_allowances,created_at,updated_at,exceeded_free_tier,paid_conversations,free_tier_usage_pct
01KDKZR1CWCMXEXJSHYCJFZMMM,3154,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-29 02:42:08","2025-12-29 02:42:08",0,0,0.00
01KDJBSJ0DK4TR1GJZTSGFX47N,3152,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-28 11:34:12","2025-12-28 11:34:12",0,0,0.00
01KDESPA42CXCPWX49GK2BBV89,3151,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-27 02:20:08","2025-12-27 02:20:08",0,0,0.00
01KDEA7ZMESNA8QA6TG3GBHNRK,3149,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-26 21:50:10","2025-12-26 21:50:21",0,0,0.00
01KDE5VV55ENSD2C8MGYCYHG6C,3148,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-26 20:33:37","2025-12-26 20:33:37",0,0,0.00
01KDDMG5GWEYHFYAMEJ566JZQ0,3147,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-26 15:30:09","2025-12-26 15:30:09",0,0,0.00
01KDCBSS15JTNJGMXS7MQ00N57,3146,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-26 03:38:52","2026-01-16 04:40:35",0,0,0.00
01KD98SXCBC5GQV2G1724J9SW6,3145,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-24 22:48:48","2025-12-24 22:48:48",0,0,0.00
01KD8TEE3TPPB7WJT2AKPC92RF,3144,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-24 18:37:52","2026-01-14 19:40:10",0,0,0.00
01KD8JP3G4K4QTXM9D3QW557AW,3143,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-24 16:22:14","2026-01-14 17:24:23",0,0,0.00
01KD73R3W8Q2YEV334KX4SCFB4,3141,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-24 02:41:57","2026-01-14 03:44:57",0,0,0.00
01KD6YZMQAV8M00PGC2K9GEK0C,3140,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-24 01:18:41","2025-12-24 01:18:41",0,0,0.00
01KD6Q29JBA96SS11CCCW3B5SX,3139,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-23 23:00:19","2025-12-23 23:00:19",0,0,0.00
01KD6KDW61XHW3QXBVM3WZB7CV,3138,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-23 21:56:44","2025-12-23 21:56:44",0,0,0.00
01KD6JE4B8XPWG0CG23G9GKFKS,3137,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-23 21:39:24","2026-01-13 22:40:59",0,0,0.00
01KD6GMCXGSE3VAHVJDK80P9YE,3136,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-23 21:07:52","2025-12-23 21:07:52",0,0,0.00
01KD6G71647QZTDNFXXGNQRVJ1,3135,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-23 21:00:34","2025-12-23 21:00:34",0,0,0.00
01KD6FQJYGFBVF05H61XE7XMG7,3134,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-23 20:52:08","2026-01-13 21:54:35",0,0,0.00
01KD62CE8TJDNQRE72QK18J4K6,3133,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-23 16:58:52","2025-12-23 16:58:52",0,0,0.00
01KD4PYNE5KVHYDP5W3Q029E3D,3131,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-23 04:19:51","2025-12-23 04:19:51",0,0,0.00
01KD3YQJ1THEW0K9X8XD5SY24F,3130,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-22 21:16:33","2025-12-22 21:16:33",0,0,0.00
01KD3KNX6SMVPTXR1Y1G3YXJRN,3126,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-22 18:03:24","2025-12-22 18:03:24",0,0,0.00
01KD3ET400JHVTV5YHJVCZS92G,3124,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-22 16:38:19","2025-12-22 16:38:19",0,0,0.00
01KD3DNWR202KPW0RX7S75Q71W,3123,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-22 16:18:32","2026-01-12 17:20:11",0,0,0.00
01KD197R25VXY4YVRRNCD4SWJH,3122,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-21 20:22:26","2025-12-21 20:22:26",0,0,0.00
01KCX046HG3BQWPM8R7CJMCWZD,3121,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-20 04:26:14","2025-12-20 04:26:14",0,0,0.00
01KCWDX6XM2SMHDGXNYNAAGT3Z,3120,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-19 23:07:51","2025-12-19 23:07:51",0,0,0.00
01KCVZNG9AZNE4E1E67XQGXSEN,3118,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-19 18:58:58","2025-12-19 18:58:58",0,0,0.00
01KCVNZBQ14YGD5F0EW23NXC5W,3115,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-19 16:09:36","2026-01-09 17:11:13",0,0,0.00
01KCVN2EEVGT4T0W8JXWCCSTGS,3114,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-19 15:53:48","2025-12-19 15:53:48",0,0,0.00
01KCVFBEM58DSF8Z720FKEFJ7H,3113,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-19 14:13:52","2025-12-19 14:13:52",0,0,0.00
01KCT6Q6M2M7VR86E4GS63BQCS,3112,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-19 02:23:45","2026-01-14 04:59:27",0,0,0.00
01KCT115M1C308G1J5B3PMK1XF,3111,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-19 00:44:20","2025-12-19 00:44:20",0,0,0.00
01KCSPP31TRGKSZ8TCV8RHF95Z,3110,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-18 21:43:32","2025-12-18 21:43:32",0,0,0.00
01KCSKHKGQT6D7V99YR31QTNWJ,3109,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-18 20:48:39","2026-01-08 21:51:04",0,0,0.00
01KCSF05KZQKNMRTCCG2CEABR2,3107,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-18 19:29:13","2025-12-18 19:29:13",0,0,0.00
01KCSDZVQ41MKQWY9Z7QQ9SK9B,3106,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-18 19:11:35","2025-12-18 19:11:35",0,0,0.00
01KCSCTEXZ54GHG28KRT7Q893E,3105,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-18 18:51:09","2025-12-18 18:51:09",0,0,0.00
01KCSBA3XKXHRAT72WYAGR4KAT,3104,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-18 18:24:45","2025-12-18 18:24:45",0,0,0.00
01KCS9E0JVS8SWAQ3PQHF652FH,3103,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-18 17:51:55","2026-01-08 18:53:46",0,0,0.00
01KCRWKJPPK3Y6GTZREB42W9SN,3102,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-18 14:07:46","2026-01-08 18:03:51",0,0,0.00
01KCQDCPYAHPFRXT70Q09MTK3S,3101,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-18 00:22:38","2025-12-18 00:22:38",0,0,0.00
01KCQ5E8TXN9J7M7WYYJ9GY8DV,3099,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-17 22:03:41","2026-01-08 18:04:55",0,0,0.00
01KCQ356KFYN5FT098DFDE6606,3098,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-17 21:23:46","2026-01-08 18:05:27",0,0,0.00
